figure_number,figure_title,panel,panel_title,source_png,source_width_px,source_height_px,source_sha256_before,composite_png,composite_pdf,scientific_content_redrawn
3,"Matched improvements, calibration, and decision utility",B,Paired bootstrap intervals,E:\postdoc-work\ist-project\figures\Step55_Traditional_vs_ESM2_Bootstrap_CI.png,6166,4475,1B8CE9647121271AA6640B4D670389A9D7EEB568D30865FA4F0D8B57F202E9DD,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.pdf,False
3,"Matched improvements, calibration, and decision utility",C,Reliability curves,E:\postdoc-work\ist-project\figures\Step71_Model_Calibration_Curves.png,5250,2394,A6B8413498A1C717B3271E23201AB113BDCDD494DFE87E5815C38EE22AB51717,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.pdf,False
3,"Matched improvements, calibration, and decision utility",D,Calibration metrics,E:\postdoc-work\ist-project\figures\Step71_Calibration_Metrics.png,5964,2520,5FD139BECE32E89E485F2A46BDC7543162DC99AEC8C8DE606E81752A3AC74A40,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.pdf,False
3,"Matched improvements, calibration, and decision utility",E,Matched calibration deltas,E:\postdoc-work\ist-project\figures\Step72_Traditional_vs_ESM2_Calibration_Deltas.png,8535,3425,8E9F0505EC8250B028192C1A28DD60D4BCD6F9ED3978FAA8EAF62EC1269711BC,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.pdf,False
3,"Matched improvements, calibration, and decision utility",F,Traditional decision curves,E:\postdoc-work\ist-project\figures\Step73_Traditional_Decision_Curves.png,5404,3757,90D632B39A3C0C6373D1BB5CB0C1142BC0FC06FDC4DE17A7FAF5512C83C3BE9A,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.pdf,False
3,"Matched improvements, calibration, and decision utility",G,ESM-2 decision curves,E:\postdoc-work\ist-project\figures\Step73_ESM2_Decision_Curves.png,5404,3757,84C52FDCE444D1EAD498867E46AFD762E71A2EB8CC6CAA9E18C768625AF9E82A,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.pdf,False
3,"Matched improvements, calibration, and decision utility",H,Leading ESM-2 tree-model comparison,E:\postdoc-work\ist-project\figures\Step75_ESM2_RF_vs_XGBoost_Paired_Bootstrap.png,5163,3209,A32BC775B7D5744CEB5A63C7A60450C249E1052DC857F12CC6199197152A0520,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure3_Matched_Performance_Calibration_and_Utility.pdf,False
4,Sequence novelty and homology-aware generalization,A,Novelty-stratified ranking metrics,E:\postdoc-work\ist-project\figures\Step67_Sequence_Novelty_AUROC_AUPRC.png,4605,2490,CE199FAC937E2BBC3E1C2193BCE1BAA51EAF211CA8F8E615099A2467C36857E0,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.pdf,False
4,Sequence novelty and homology-aware generalization,B,Novelty-stratified threshold metrics,E:\postdoc-work\ist-project\figures\Step67_Sequence_Novelty_MCC_F1.png,4531,2490,07F11F22E18932C92EC7D6A4E16BD61EBD3E3DFD82BF9C7E3BC1A82027E93C01,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.pdf,False
4,Sequence novelty and homology-aware generalization,C,Similarity-stratum error rates,E:\postdoc-work\ist-project\figures\Step68_Similarity_Stratum_Error_Rates.png,4492,2624,B8E6DE8B1FAD2EE7C25121C038BB8098AECC0D443806BB721599D5FBEBC04498,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.pdf,False
4,Sequence novelty and homology-aware generalization,D,Similarity versus consensus difficulty,E:\postdoc-work\ist-project\figures\Step68_Similarity_vs_Eight_Model_Difficulty.png,5068,2698,687DD620B433B6A1A32D7C4399331449EFF47BFFF72A652552DE99CC79B88ACD,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.pdf,False
4,Sequence novelty and homology-aware generalization,E,Class-aware similarity and difficulty,E:\postdoc-work\ist-project\figures\Step69_Class_Similarity_vs_Difficulty.png,6514,3553,8C2502CB4028E289511E61C37CB550AD567287DDD19D3F7F7F4478ED3183188C,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.pdf,False
4,Sequence novelty and homology-aware generalization,F,Class-stratified difficulty,E:\postdoc-work\ist-project\figures\Step69_Class_Stratified_Difficulty.png,6486,3553,A2AD247118EDC98A9DA79662ED2C65D76F66FC9C5363692124651A537575E836,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.pdf,False
4,Sequence novelty and homology-aware generalization,G,Matched neighbor-relation differences,E:\postdoc-work\ist-project\figures\Step70_Matched_Neighbor_Relation_Differences.png,5670,3444,FFC0BB9D8F8D550C08FE64B1CB00FBF85545388CB42BA13DC4EB19F275F87250,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.pdf,False
4,Sequence novelty and homology-aware generalization,H,Neighbor relation and error burden,E:\postdoc-work\ist-project\figures\Step70_Neighbor_Relation_Error_Burden.png,5250,2268,57849EE5623A395506C8928367DE47D39F5C9BAE96B72C622D1167FD300DA9A6,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure4_Sequence_Novelty_and_Generalization.pdf,False
5,Representation complementarity and ESM-2 interpretability,A,Cross-space canonical correlation,E:\postdoc-work\ist-project\figures\Step77_Traditional_vs_ESM2_Canonical_Correlation.png,5577,3334,6EA41D11B8FF9A499C7BB75693705ECA8662A2D1B4BD8D60183937104D9F22D6,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,B,Descriptor-to-ESM-2 PC associations,E:\postdoc-work\ist-project\figures\Step77_Descriptor_ESM2_PC_Association_Map.png,10616,3674,007B51886E29DB07DCEE02F72929A7B906803C284A2AF3AB86325B60F42A4121,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,C,Cross-validated shared structure,E:\postdoc-work\ist-project\figures\Step78_Cross_Validated_Canonical_Correlations.png,5848,3550,490618652776030BCF66AA65D0374D5872F2A8E87B53154D6DAD76A271961BC2,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,D,Fusion versus single representations,E:\postdoc-work\ist-project\figures\Step79_Fusion_vs_Single_Representation.png,8202,3709,DBD7C8F18C25584B304A81690BE9EA3241EBE86DD2F7AE81212364B6CDC636BF,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,E,Fusion paired-bootstrap evidence,E:\postdoc-work\ist-project\figures\Step80_Fusion_vs_ESM2_Paired_Bootstrap.png,8004,3594,246457ED469C57E534AEAE671E297B10C280ECFDC6DAD98A5932EF437DBBA358,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,F,Stable latent-dimension importance,E:\postdoc-work\ist-project\figures\Step81_ESM2_Feature_Importance_Stability.png,7629,4366,F051730A6E5534D3B698A48DC11F41237E98C8D5591422B3635A32CE957E2D93,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,G,Hard-versus-correct residue sensitivity,E:\postdoc-work\ist-project\figures\Step82_Hard_vs_Correct_Residue_Sensitivity.png,7042,2601,8F024D3346D08BFA0BCAE670ED07AF5BF6D60DF9B742C23A4B53C949E144E84A,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,H,Hard-case residue tracks,E:\postdoc-work\ist-project\figures\Step82_Hard_Case_Residue_Sensitivity.png,6627,4126,85359196C1114D16ACBA32BACE58CC8BBB5B00AD9C3CD440C7033325E4B8FD1B,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,I,Residue-category sensitivity,E:\postdoc-work\ist-project\figures\Step83_Residue_Category_Sensitivity.png,6702,2953,5C8F3368EF5CAB5EC25C70A832957308590166E17248C6453D47A8DFE1077A64,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
5,Representation complementarity and ESM-2 interpretability,J,Motif-context sensitivity,E:\postdoc-work\ist-project\figures\Step83_Motif_Context_Sensitivity.png,7343,4185,FB3A0B129C67CFA05A310EFD41B5EB8145E4671A1FF970C7867BC041210FDC24,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure5_Representation_Complementarity_and_Interpretability.pdf,False
6,Hard-case anatomy and error interpretation,A,Traditional errors and ESM-2 rescue,E:\postdoc-work\ist-project\figures\Step56_Traditional_Error_ESM2_Rescue_Map.png,4386,2949,03A7D3FA8D2CC1E6728A5B3062A8E1841EAB6E6FD84A72378FCB4AC3860B25AF,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,B,Correct-class probability shifts,E:\postdoc-work\ist-project\figures\Step57_Correct_Class_Probability_Shifts.png,6069,4389,84A2EFB9E8FA74B82757351968D18A01ADE2ECACB28D250C904D146027E46060,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,C,Prediction-transition profiles,E:\postdoc-work\ist-project\figures\Step58_Transition_Physicochemical_Profiles.png,7269,4149,49E32834571DA998AE28E72080232193624AAD82BE1ECE4C39CBF04FDDBEB9D6,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,D,Eight-model hard-case map,E:\postdoc-work\ist-project\figures\Step59_Eight_Model_Hard_Case_Map.png,6369,4209,09C7429221C6732EB9F3873F542FBDA302409B569DBEEAE28A06839DEA7A3487,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,E,Representation error overlap,E:\postdoc-work\ist-project\figures\Step59_Traditional_ESM2_Error_Overlap.png,3736,3309,BCE635F00EA30EE2CC8A5B9076E06BF4F64766138ACC1B634554BB8BF9689891,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,F,Hard-case amino-acid composition,E:\postdoc-work\ist-project\figures\Step60_Hard_Case_Amino_Acid_Composition.png,5498,2810,1F2D7FF85E1443102AD3A4E20F18908CB1BE1F53A55C4E19870FE3CCF3E5CC0E,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,G,Recurrent hard-case motifs,E:\postdoc-work\ist-project\figures\Step60_Hard_Case_Motif_Enrichment.png,4470,3398,FDD22EEACBAACE88885A18FEAC6008AB2240AB06AD76DDEAB26D19F27D8F24D9,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,H,Opposite-class proximity,E:\postdoc-work\ist-project\figures\Step61_Hard_Case_Opposite_Class_Proximity.png,4741,3398,41D471CF9D98928138ACA9F505F7FEE20C4964DA14E7D2E3B27ACE77066F65F0,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,I,Development-neighborhood purity,E:\postdoc-work\ist-project\figures\Step64_Hard_Case_Neighborhood_Purity.png,4393,3477,4120A02CB5980EA0624918459B366B8501B8EDE84279D04E1F530389BA6765FC,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
6,Hard-case anatomy and error interpretation,J,Universal-error evidence synthesis,E:\postdoc-work\ist-project\figures\Step84_Universal_Hard_Case_Evidence_Map.png,6200,2658,A258F6E0E22EB10BB30F0E9FF23DACA6056AB6803E7A0256DE288E3D176F9E5A,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.png,E:\postdoc-work\ist-project\manuscript\main_figures_from_existing\Figure6_Hard_Case_Anatomy_and_Error_Interpretation.pdf,False
