figure_number,figure_title,row,panel,source_png,source_sha256_before,original_width_px,original_height_px,crop_left,crop_top,crop_right,crop_bottom,cropped_width_px,cropped_height_px,placed_width_px,placed_height_px,scientific_content_redrawn,output_png,output_pdf,output_tiff
3,"Calibration, clinical utility, and leading-model trade-offs",1,B,E:\postdoc-work\ist-project\figures\Step71_Calibration_Metrics.png,5FD139BECE32E89E485F2A46BDC7543162DC99AEC8C8DE606E81752A3AC74A40,5964,2520,0,0,5964,2514,5964,2514,2511,1058,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.tiff
3,"Calibration, clinical utility, and leading-model trade-offs",2,C,E:\postdoc-work\ist-project\figures\Step72_Traditional_vs_ESM2_Calibration_Deltas.png,8E9F0505EC8250B028192C1A28DD60D4BCD6F9ED3978FAA8EAF62EC1269711BC,8535,3425,44,35,8504,3387,8460,3352,2822,1118,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.tiff
3,"Calibration, clinical utility, and leading-model trade-offs",2,D,E:\postdoc-work\ist-project\figures\Step75_ESM2_RF_vs_XGBoost_Paired_Bootstrap.png,A32BC775B7D5744CEB5A63C7A60450C249E1052DC857F12CC6199197152A0520,5163,3209,36,35,5123,3171,5087,3136,1813,1118,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.tiff
3,"Calibration, clinical utility, and leading-model trade-offs",3,E,E:\postdoc-work\ist-project\figures\Step73_Traditional_Decision_Curves.png,90D632B39A3C0C6373D1BB5CB0C1142BC0FC06FDC4DE17A7FAF5512C83C3BE9A,5404,3757,36,35,5364,3719,5328,3684,2317,1602,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.tiff
3,"Calibration, clinical utility, and leading-model trade-offs",3,F,E:\postdoc-work\ist-project\figures\Step73_ESM2_Decision_Curves.png,84C52FDCE444D1EAD498867E46AFD762E71A2EB8CC6CAA9E18C768625AF9E82A,5404,3757,36,35,5364,3719,5328,3684,2318,1602,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure3_Calibration_Utility_and_Leading_Model_Tradeoffs.tiff
4,Sequence novelty and homology-aware generalization,1,A,E:\postdoc-work\ist-project\figures\Step67_Sequence_Novelty_AUROC_AUPRC.png,CE199FAC937E2BBC3E1C2193BCE1BAA51EAF211CA8F8E615099A2467C36857E0,4605,2490,19,17,4589,2436,4570,2419,2337,1237,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.tiff
4,Sequence novelty and homology-aware generalization,1,B,E:\postdoc-work\ist-project\figures\Step67_Sequence_Novelty_MCC_F1.png,07F11F22E18932C92EC7D6A4E16BD61EBD3E3DFD82BF9C7E3BC1A82027E93C01,4531,2490,19,17,4515,2436,4496,2419,2298,1237,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.tiff
4,Sequence novelty and homology-aware generalization,2,C,E:\postdoc-work\ist-project\figures\Step68_Similarity_Stratum_Error_Rates.png,B8E6DE8B1FAD2EE7C25121C038BB8098AECC0D443806BB721599D5FBEBC04498,4492,2624,23,18,4446,2605,4423,2587,2209,1292,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.tiff
4,Sequence novelty and homology-aware generalization,2,D,E:\postdoc-work\ist-project\figures\Step68_Similarity_vs_Eight_Model_Difficulty.png,687DD620B433B6A1A32D7C4399331449EFF47BFFF72A652552DE99CC79B88ACD,5068,2698,23,18,5023,2679,5000,2661,2426,1292,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.tiff
4,Sequence novelty and homology-aware generalization,3,E,E:\postdoc-work\ist-project\figures\Step69_Class_Similarity_vs_Difficulty.png,8C2502CB4028E289511E61C37CB550AD567287DDD19D3F7F7F4478ED3183188C,6514,3553,36,35,6473,3515,6437,3480,2055,1111,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.tiff
4,Sequence novelty and homology-aware generalization,3,F,E:\postdoc-work\ist-project\figures\Step70_Neighbor_Relation_Error_Burden.png,57849EE5623A395506C8928367DE47D39F5C9BAE96B72C622D1167FD300DA9A6,5250,2268,0,0,5250,2262,5250,2262,2580,1111,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure4_Sequence_Novelty_and_Homology_Aware_Generalization.tiff
5,Representation complementarity and stable ESM-2 signals,1,A,E:\postdoc-work\ist-project\figures\Step77_Traditional_vs_ESM2_Canonical_Correlation.png,6EA41D11B8FF9A499C7BB75693705ECA8662A2D1B4BD8D60183937104D9F22D6,5577,3334,36,35,5545,3296,5509,3261,1696,1004,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.tiff
5,Representation complementarity and stable ESM-2 signals,1,B,E:\postdoc-work\ist-project\figures\Step77_Descriptor_ESM2_PC_Association_Map.png,007B51886E29DB07DCEE02F72929A7B906803C284A2AF3AB86325B60F42A4121,10616,3674,43,35,10578,3636,10535,3601,2939,1004,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.tiff
5,Representation complementarity and stable ESM-2 signals,2,C,E:\postdoc-work\ist-project\figures\Step78_Cross_Validated_Canonical_Correlations.png,490618652776030BCF66AA65D0374D5872F2A8E87B53154D6DAD76A271961BC2,5848,3550,43,35,5817,3512,5774,3477,1974,1189,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.tiff
5,Representation complementarity and stable ESM-2 signals,2,D,E:\postdoc-work\ist-project\figures\Step79_Fusion_vs_Single_Representation.png,DBD7C8F18C25584B304A81690BE9EA3241EBE86DD2F7AE81212364B6CDC636BF,8202,3709,36,35,8170,3671,8134,3636,2661,1189,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.tiff
5,Representation complementarity and stable ESM-2 signals,3,E,E:\postdoc-work\ist-project\figures\Step80_Fusion_vs_ESM2_Paired_Bootstrap.png,246457ED469C57E534AEAE671E297B10C280ECFDC6DAD98A5932EF437DBBA358,8004,3594,36,36,7964,3556,7928,3520,2601,1155,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.tiff
5,Representation complementarity and stable ESM-2 signals,3,F,E:\postdoc-work\ist-project\figures\Step81_ESM2_Feature_Importance_Stability.png,F051730A6E5534D3B698A48DC11F41237E98C8D5591422B3635A32CE957E2D93,7629,4366,39,35,7596,4328,7557,4293,2034,1155,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure5_Representation_Complementarity_and_Stable_ESM2_Signals.tiff
6,Consensus hard cases and sequence-context interpretation,1,A,E:\postdoc-work\ist-project\figures\Step59_Eight_Model_Hard_Case_Map.png,09C7429221C6732EB9F3873F542FBDA302409B569DBEEAE28A06839DEA7A3487,6369,4209,41,35,6020,4158,5979,4123,1760,1214,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff
6,Consensus hard cases and sequence-context interpretation,1,B,E:\postdoc-work\ist-project\figures\Step84_Universal_Hard_Case_Evidence_Map.png,A258F6E0E22EB10BB30F0E9FF23DACA6056AB6803E7A0256DE288E3D176F9E5A,6200,2658,43,35,6163,2620,6120,2585,2875,1214,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff
6,Consensus hard cases and sequence-context interpretation,2,C,E:\postdoc-work\ist-project\figures\Step60_Hard_Case_Amino_Acid_Composition.png,1F2D7FF85E1443102AD3A4E20F18908CB1BE1F53A55C4E19870FE3CCF3E5CC0E,5498,2810,18,17,5484,2779,5466,2762,2780,1405,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff
6,Consensus hard cases and sequence-context interpretation,2,D,E:\postdoc-work\ist-project\figures\Step60_Hard_Case_Motif_Enrichment.png,FDD22EEACBAACE88885A18FEAC6008AB2240AB06AD76DDEAB26D19F27D8F24D9,4470,3398,18,17,4455,3378,4437,3361,1855,1405,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff
6,Consensus hard cases and sequence-context interpretation,3,E,E:\postdoc-work\ist-project\figures\Step82_Hard_vs_Correct_Residue_Sensitivity.png,8F024D3346D08BFA0BCAE670ED07AF5BF6D60DF9B742C23A4B53C949E144E84A,7042,2601,36,36,7010,2563,6974,2527,2923,1059,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff
6,Consensus hard cases and sequence-context interpretation,3,F,E:\postdoc-work\ist-project\figures\Step82_Hard_Case_Residue_Sensitivity.png,85359196C1114D16ACBA32BACE58CC8BBB5B00AD9C3CD440C7033325E4B8FD1B,6627,4126,43,35,6592,4088,6549,4053,1712,1059,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff
6,Consensus hard cases and sequence-context interpretation,4,G,E:\postdoc-work\ist-project\figures\Step83_Residue_Category_Sensitivity.png,5C8F3368EF5CAB5EC25C70A832957308590166E17248C6453D47A8DFE1077A64,6702,2953,44,36,6671,2915,6627,2879,2622,1139,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff
6,Consensus hard cases and sequence-context interpretation,4,H,E:\postdoc-work\ist-project\figures\Step83_Motif_Context_Sensitivity.png,FB3A0B129C67CFA05A310EFD41B5EB8145E4671A1FF970C7867BC041210FDC24,7343,4185,44,35,7305,4147,7261,4112,2013,1139,False,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.png,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.pdf,E:\postdoc-work\ist-project\manuscript\main_figures_high_impact\Figure6_Consensus_Hard_Cases_and_Sequence_Context.tiff
